speaker,dialogue
对应集数,第42集
甄嬛,这个地方我来的比你多，当初我就是在这里看着丽嫔在我面前疯癫无状
华妃,你不要做梦了，你把我害到如此地步，我做鬼都不会放过你
甄嬛,没有人要害你，是你自作自受，淳贵人溺水是你做的吧；在温仪公主食物里下木薯粉也是你做的，指使余氏在我药中下毒，推眉庄入水，冤枉眉庄假孕争宠，可样样都是你做的吧
华妃,我就知道，曹琴默那个贱妇敢反咬我一口，必定是你在背后指使，凭他哪有那个狗胆！
甄嬛,你还真是知人不明，你几次三番利用温仪来争宠，甚至不惜拿她的性命来开玩笑，襄嫔（曹贵人）是他的生母，哪有不恨的道理，你以为他恨你的心思是从今日才有的吗？冰冻三尺非一日之寒，你早该知道她对你有异心了，
华妃,以我当年的盛势，连皇后那个老妇都要让我三分，曹琴默不过是我身边的一条狗，我怎么会把它放在眼里
甄嬛,可惜他是人，人要比狗复杂多了
华妃,贱人，你跟你父亲一样狡诈，若不是你父亲设下诡计，我们年氏一族不至于一败涂地，你们宫里宫外联手，不就是为了置我于死地吗！
甄嬛,若不是年氏一族居功自傲，任意妄为，有何至于此呢，你别忘了，你的夫君是皇帝，君王枕畔怎容他人酣睡
华妃,我哥哥是有功之臣，为大清平定西北，战功赫赫
甄嬛,再怎么战功赫赫也是皇上的臣子，怎可凌驾皇上之上，岂非谋逆（貌似华妃有所领悟，这时苏培盛过来要送年氏上路，推门进去，说奉皇后懿旨让华妃在毒酒、白绫、匕首里面任选一样）
华妃,皇后懿旨，皇上的圣旨呢，拿来
苏培盛,皇上的意思是，交由皇后娘娘全权做主
华妃,没有皇上的圣旨，我绝不就死，皇上能亲口下令杀了我兄长，还怕再下一道旨意给我吗？
苏培盛,皇上说了，任何有关小主的事都不想听到
华妃,（快哭了）皇上就厌恶我到如此地步吗？去请皇上的圣旨来，我等着
甄嬛,苏公公，且缓一缓吧，容我和年答应告别几句
苏培盛,是，娘娘自便吧，奴才在外头候着就是了（放下东西，出去了）
甄嬛,真是对不住了，称呼惯了您娘娘，骤然要叫你答应，还真是不习惯呢（对小允子说手炉凉了，让他出去了）皇上为什么厌恶你，你知道吗？
华妃,皇上从来都没有厌恶过我，皇上从前很宠爱我，就算我犯了再大的过错，他在生气，也不舍得不理我太久
甄嬛,皇上为什么喜欢你，你知道吗？就因为你的美貌？宫中可从来不缺美貌的女人
华妃,你是说，皇上因我是年羹尧的妹妹才加以宠爱，端妃也是将门之女
甄嬛,其实你自己心里面都清楚，又何必要自欺欺人呢
华妃,你胡说，皇上怎么会对我没有真心
甄嬛,或许有吧，可即使有，你和年羹尧跋扈多年，这点真心，恐怕也耗得一点都不剩了
华妃,你个贱人知道什么，记得我那一年刚刚入王府，就封了侧福晋，成了皇上身边最得宠的女人，王府里那么多女人，个个都怕他，就我不怕他，他常常带着我去策马，去打猎，他说他只喜欢我一个人，可是王府里的女人真多啊，多的让我生气，他今天宿在这个侍妾那里，明晚又宿在那个福晋那里，我就这样等啊等啊，等到天都亮了，他还是没来我这，你试过从天黑等到天亮的滋味吗？
甄嬛,我一早知道他是皇上，他的夜晚从来不属于我一个人
华妃,当然，你从来都没有像我这样喜欢过皇上，后来我有了身孕，皇上很高兴，可是渐渐他就不那么高兴了，虽然皇上不说，可是我能感觉到，王府里长大的就只有三阿哥一个，我知道他担心，我就跟他说，别怕，我会给你生下一个皇子，可是没过多久，我喝了端妃送来的安胎药，我的孩子就没有了，太医告诉我，那是一个已经成了形的男胎，
甄嬛,你的孩子没了，就要拿我的孩子来陪葬吗？他在我肚子里才四个月大，你居然要置他于死地
华妃,我没有要杀你的孩子，是你自己不中用，才跪了半个时辰就会小产，你自己保不住自己的孩子，何苦要来怪我，我是恨皇上专宠于你，我从来没有见过皇上如此宠爱一个女人，有你在，皇上就不在意我了，我不想再从天黑等到天亮了，只要是敢跟我争宠的女人，就都得死，我是让余氏下毒杀你，可是我没有想过要杀你的孩子
甄嬛,你没有？就算你不是有心的，可若不是你宫里的欢宜香，我又怎么会身子虚弱，才跪了半个时辰我就小产
华妃,欢宜香，欢宜香
甄嬛,你知道为什么你小产之后就没有再怀上孩子了吗?你知不知道那欢宜香里面有大量的麝香，你用了这么多年，当然不会再有孩子了
华妃,你信口雌黄，那香是皇上赐给我的，皇上，不可能，这不可能
甄嬛,若不是皇上的旨意，怎么会没有太医告诉你，你体内有麝香，且不说你多年不孕，就连你当年小产，也都是皇上的旨意，端妃那碗安胎药，只不过是替皇上担了虚名而已，你灌了端妃再多的红花，也换不回你的孩子（这之间华妃一直在说不可能）
华妃,为什么，为什么
甄嬛,因为你是年家的女儿，皇上对年羹尧早有戒心，他不会让你生下有年氏血脉的孩子的
华妃,（又哭又笑）皇上，皇上，你害得世兰好苦啊（一头撞死了）
