speaker,dialogue
皇帝,那些贱奴才是怎么说的?
苏培盛,"都已经招了,除了招供谋害熹贵妃的事,还吐了不少东西出来。"
皇帝,还有?
苏培盛,"其他都不是什么大事,但只有一件,奴才不敢不来禀报。"
皇帝,什么事啊?
苏培盛,"皇上,纯元皇后的死因,与-一与皇后有关。"
皇帝,大胆!
苏培盛,奴才不敢。
皇帝,"你说,一五一十地说。"
苏培盛,"是。皇上,奴才问过太医,说芭蕉性寒,平时少吃些倒还无妨,只是有孕的女子千万不可轻易碰食,"
皇帝,是那些奴才亲口说的吗?
苏培盛,"剪秋受尽了酷刑,什么也没招,倒是那江福海招了个干干净净。此外,纯元皇后所产下的死胎身带紫"
皇帝,不是因为从前那个侧福晋惹得纯元惊悸忧思的缘故吗?
苏培盛,"太医说,正因如此,所以这些诡计才被掩饰了过去。"
皇帝,果真是她 ……
苏培盛,"是啊,皇上,除了谋害纯元皇后之外,还有很多呀。"
皇帝,"朕以为她与纯元是亲姐妹,她待纯元既恭谨又谦和,带她来,我与她多年夫妻,朕相信她筹谋储君,朕"
皇帝,"已经到了这地步,你可认罪吗?"
皇后,"皇上既然已经相信,何必再来问臣妾呢?"
皇帝,"若非等你亲口认罪,你以为朕还愿意再见到你这张脸?"
皇后,"臣妾已经年老色衰了,皇上自然会嫌恶,臣妾只是想,若姐姐还在,皇上是否还真心喜爱她逐渐老去的"
皇帝,"心慈则貌美,纯元纵然年华老去,也一定会胜过你万千。"
皇后,"这对玉镯还是臣妾入府的时候皇上亲自为臣妾戴上的,“愿如此环,朝夕相见”,可如今皇上以为臣妾犯"
皇帝,"你知道朕并不在意嫡庶,皇额娘也不在意,皇额娘是庶出,朕也是庶出。"
皇后,"皇上,你可曾知道庶出的女子有多痛苦啊?嫡庶尊卑分明,臣妾与臣妾的额娘很少受到重视,你何曾明"
皇帝,"朕明白,正因为朕明白,所以才在你入府以后厚待于你,即便朕立了纯元为唯一的福晋,你也是仅次于"
皇后,"本该属于臣妾的福晋之位被他人一朝夺去,本该属于臣妾儿子的太子之位也要另属他人,臣妾夫君所有"
皇帝,"纯元是你的亲姐姐,要你入府是朕错了。"
皇后,"皇上错在不是迎臣妾入府,是不该迎姐姐入府、专宠姐姐,既生瑜何生亮啊,皇上何等睿智,怎么到了"
皇帝,"是朕太看重你们的姐妹之情了,你就不怕报应?午夜梦回的时候,你就不怕纯元和孩子来向你追魂索命 ?!"
皇后,"她要来索命尽管来索呀,免得臣妾长夜漫漫,总梦见我的孩子向我啼哭不已。孩子夭亡的时候姐姐有了"
皇帝,"你疯了,是朕执意要娶纯元,是朕执意要立她为福晋,是朕与她有了孩子,你为什么不恨朕 !!"
皇后,"皇上以为臣妾不想吗?臣妾多想恨你呀,可是臣妾做不到,臣妾做不到啊!皇上的眼中只有姐姐,皇上"
皇帝,"佛口蛇心,你真是让朕恶心。"
皇后,"皇上,臣妾若不是身在皇后之位要保全自身,也希望皇上心中还记得臣妾的一点好,臣妾何尝不愿意什"
苏培盛,嗻。
