speaker,dialogue
关键节点,第15集 (当众被揭穿失宠)
皇后,"惠贵人,本宫看你气色真好,想来这一胎一定平安健康。"
太监,皇上驾到!
众人,请皇上圣安。
皇后,"惠贵人有孕,臣妾身为后宫之主理当多关怀体贴,恪尽皇后职责。"
众妃嫔,臣妾等亦追随皇后。
皇帝,"起来吧起来吧,来来来,(扶眉庄坐下)怎么样,今日觉得如何?"
眉庄,"臣妾觉得很好,多谢皇上。"
华妃,"皇上用过膳了吗?臣妾宫中来了位新厨子,做得一手江南好菜。"
皇帝,"才在碧桐书院用过晚膳,改日吧。"
华妃,"想必莞贵人宫中也有好厨子,方能留得住皇上。"
甄嬛,"华妃娘娘宫中的东阿阿胶桂圆羹已经让皇上念念不忘了,如今宫中又来了个好厨子,可不是要让皇上对"
华妃,"月余没与莞贵人聊天,莞贵人口齿伶俐一如往昔啊。"
皇帝,"妮子伶俐,年幼爱玩笑,华妃也要与她相争吗?"
华妃,"皇上,臣妾喜欢莞贵人伶俐,方才与她多玩笑几句。"
皇后,"皇上,伊犁将军进贡了一些蜜瓜过来,一同品尝吧。"
徐进良,"皇上,是时候该翻牌子了。"
皇帝,"不必翻了,朕去皇后那儿。你那儿若还有蜜瓜,朕去你那儿吃。"
皇后,是。
皇帝,"莞贵人,好好陪陪惠贵人。"
甄嬛,是。
皇帝,谁在那里鬼鬼祟祟?
侍卫,"看见你了,快出来!(揪出茯苓)"
茯苓,"别抓我别抓我,我是伺候惠贵人的!"
曹贵人,"这、这不是惠贵人宫里的茯苓吗,怎么在这儿鬼鬼祟祟的?"
苏培盛,"手上拿什么东西?这是什么?(夺过茯苓怀里的包裹)怎么,想偷了小主的东西夹带私逃 ?!"
眉庄,"好个没出息的奴才,赶快给我拖出去 --"
皇帝,"你有身子的人,何必动气。"
茯苓,"小主,小主救我呀!"
眉庄,"你做出这样的事情,叫我怎么容你,快去快去!"
齐妃,这、这裤子上怎么有血呀?
华妃,难不成是有人谋财害命?
皇帝,"这事蹊跷,哪有偷东西不偷值钱的东西,专拿些裤子裙子且是污秽之物?"
皇后,这些是惠贵人的东西吗?怎么会沾上血了?
欣常在,莫不是惠贵人见了红?
眉庄,没有啊?
华妃,"皇上,这丫头古怪得很,臣妾愚见,不如拖去慎刑司好好查问一番。"
眉庄,"手爪子这样不干净,赶快给我拖出去拷打。"
茯苓,"小主,小主,奴婢替你毁灭证据,可你却狠心弃奴婢于死地!奴婢何必再忠心于小主?皇上,皇上,事"
眉庄,"皇上,她、她诬蔑臣妾!"
皇帝,"惠贵人受惊,去请太医来。"
苏培盛,嘛。
眉庄,"苏公公,请为我去请护胎的刘太医吧,只是不知道今晚是不是他当值。"
苏培盛,"回小主的话,今日并不是刘太医当值。"
皇帝,"不在也无妨,去请太医院的院判章弥来。"
苏培盛,嘛。
眉庄,"皇上,可是臣妾的胎一直都是由刘太医"
皇帝,无妨!都一样是太医。
皇后,"章太医,究竟什么个情形?莫非惊动了胎气?"
章弥,"皇上皇后恕罪,沈贵人她、她没有胎象啊。"
眉庄,你胡说!好好的孩子怎么会没有了胎象!
甄嬛,"姐姐稍安勿躁,许是太医诊断有误也说不定。"
章弥,"微臣不是千金一科的圣手,若是慎重起见,还是请江诚江太医一同审定吧。"
皇帝,去请!
苏培盛,嘛。
采月,"这话不对,小主明明月信不来,呕吐又爱食酸,可不是怀孕的样子吗?"
江诚,"可是依臣愚见,小主应该在前几日就来过月信,只是月信不调,有晚至迹象,应该是服药所致。数月前"
眉庄,"皇上,臣妾是私下问江太医要过一张方子,但是此方是有助于怀孕而并非推迟月信啊,臣妾实在冤枉啊!"
皇帝,方子在哪儿?白纸黑字一看即可分明。
眉庄,"采月,去把妆台上妆奁盒子底层的方子拿来。皇上,臣妾知道私相授受事犯宫规,还请皇上恕罪!"
华妃,"是啊,这私相授受可比假孕争宠的罪名小多了。"
采月,"小主,没有啊。"
皇帝,别找了!苏培盛。
苏培盛,奴才在。
皇帝,"去给朕把刘畚找来,他要是敢延误立刻绑了。"
苏培盛,"回皇上,刚才奴才去请江太医的时候也顺道命人去请了刘太医,可刘太医的住处早已人去楼空了。"
皇帝,"好一个人去楼空。沈贵人,他是你同乡对不对?他是你举荐的侍奉龙胎的对不对?"
甄嬛,皇上-一
皇帝,"谁敢替沈氏求情,一并同罪而视。"
甄嬛,皇上 -- (眉庄制止)
齐妃,"皇上,莞贵人与惠贵人一向交好,不知今日之事 --"
皇帝,住口!
苏培盛,"皇上,您息怒啊。"
皇帝,"欺骗朕和太后,你还敢戴着这个簪子招摇!(拔下眉庄的簪子)"
皇帝,"朕一向看重你稳重,不想你却是如此的不堪,以假孕争宠,真是叫朕失望至极。"
眉庄,"皇上,臣妾冤枉,臣妾真的冤枉。"
甄嬛,"皇上,臣妾与姐姐一同长大,姐姐是何为人臣妾再清楚不过了。纵然今日有错,也请皇上念在姐姐素日"
陵容,"请皇上三思,请皇上饶恕沈贵人。"
皇后,"莞贵人之言也有理,惠贵人只是太急切想有子嗣罢了,还望皇上顾念旧情。"
皇帝,"贵人沈氏,言行无状,着降为答应,褫夺封号,幽禁闲月阁,不得朕令任何人不得探视。"
苏培盛,"请皇上示下,那刘畚与茯苓二人?"
皇帝,"追捕刘畚,要活的;茯苓,杀。"
