speaker,dialogue
对应集数,第47集 - 第49集 (主要集中在甘露寺和凌云峰的情节)
浣碧,阿晋!
阿晋,"好久不见浣碧姑娘了,甘露寺里的粗茶淡饭,姑娘却更见标致了!"
浣碧,"越来越油嘴滑舌,惹人讨厌。"
甄嬛,"王爷原说胧月生辰前五日来,却没具体说是什么时辰,我只好早些来,没想到王爷更早。"
允礼,"我的私心哪,很想让我在此等待,如果碰到了,那就是一种格外的惊喜,如果未曾约定时间就碰见,那就是缘分使然。"
甄嬛,"说实话,男女情分上,我并不相信缘分一说。人们常常以缘分深厚作为亲近的借口,而以无缘作为了却情意的假词而已。"
允礼,"娘子的言论,总让人觉得柳暗花明又一村,仿佛有尽之时,又别有一番天地。"
甄嬛,"王爷过分夸奖了,或许有一天真到了无路可去无法可解的地步,我也会说“缘分已尽了”吧。"
允礼,"若是在从前娘子得意之时,娘子的这些话不足为奇,只是现在娘子依傍佛祖修行,却也不相信缘分吗?"
甄嬛,"即便入寺修行,但我也有自己所坚持的信念,更何况佛法精深,我也未曾全都懂得,只希望佛法博远,"
甄嬛,"方才听太妃说起,王爷这几月去了北地一带?"
允礼,"皇兄一时兴起,命我微服去北地一带,留心官员政绩如何,仓促得命就去了,也来不及告别一句。"
甄嬛,"如此一别,也快三个月了。"
允礼,"自上次与娘子一别,八十七日了。"
浣碧,王爷的记性真好。
甄嬛,王爷博闻广记。
允礼,"这次虽然去的时间很久,但也算有所收获,中间转道去了一趟宁古塔,这封信给娘子。"
甄嬛,"是我父亲的信?(看信)“嬛儿,我与你母亲俱好安心即可,闻得儿与浣碧同在甘露寺修行,亦好,大局已定,莫做徒劳之工,各自天涯,各自珍重,切莫过于挂怀。”"
允礼,"从信上可以看出,甄伯父笔力犹健,身子没有大碍。甄伯父自己也说,远离朝廷,纷争既淡,过得反而舒心些。"
甄嬛,"宁古塔终年苦寒,父亲与母亲年事已高,叫我如何放心?"
允礼,"宁古塔虽苦寒,但是人却可以得一夕自在,今番与甄伯父一聚,听他言语之间,颇有随遇而安的欣慰之意。朝廷中纷争内斗无数,纵然风光繁华,然而甄伯父年事已高,能有一方安乐清净之处,他亦能自足。"
甄嬛,"“烽火连三月,家书抵万金”,多谢王爷了。"
允礼,"我与娘子知交一场,何苦说这样见外的话?额娘方才说起浣碧的婚事,我倒有一个人选,不知娘子意下如何?"
甄嬛,阿晋?
允礼,"阿晋大小和我一起长大,他的人品我自然是能担保的,况且他和浣碧也算是熟识,算不得是盲婚盲嫁。"
阿晋,这个 …… 王爷说什么就是什么。
浣碧,"王爷,即便阿晋愿意,我也是不愿意的。小姐要在甘露寺中修行一辈子,若离了我,就只有槿汐一个人"
允礼,"浣碧,你若嫁给阿晋为妻,常居住在清凉台,与娘子也是可以常常见面的,或者接娘子来清凉台小住也"
浣碧,"那么王爷的意思,究竟是让我嫁给阿晋呢,还是借我和阿晋婚后让小姐久住清凉台?究竟是方便我们姐"
甄嬛,浣碧!
允礼,"浣碧,你是在帮着嬛儿,还是在伤她的心呢?"
浣碧,小姐 ……
甄嬛,"王爷唤错了,我的法号是莫愁。浣碧的婚事匆匆说定也不好,不如以后从长计议。"
浣碧,"不必了,匆匆也好,从长计议也罢,我若不喜欢一个人,断断是不会嫁给他的,我若喜欢一个人,即使"
阿晋,我到底是配不上浣碧姑娘的。
甄嬛,"浣碧一向心气高,如今又与我一同经历家变,难免很多事情都看淡了,还请王爷见谅。"
允礼,今日之事是我鲁莽了。
甄嬛,我回去一定好好劝劝她。
甄嬛,王爷?
允礼,阿晋昨天惹你生气了。
甄嬛,"阿晋说话一向爽快,他若说了什么,我也不会生气,我为王爷高兴。"
允礼,我就知道你会这么说。
甄嬛,"沛国公家世显赫,虽然手中早没了实权,但家教甚好,教出来的女儿必定风姿出众,何况太后又喜欢。"
允礼,你是真心恭喜我吗?
甄嬛,当然。
允礼,"我来帮你。(欲接衣服,甄嬛避开)无论你是否心口如一,我只想告诉你,我并不喜欢孟静娴,即便她如"
甄嬛,"太后十分中意孟小姐,何况王爷也到了该成婚的年纪。"
允礼,"太后不知道,你不是不知道。"
甄嬛,"即便王爷不中意孟家小姐,太后也会为你挑选其他匹配的婚事,王爷还能拒绝以后的每一位吗?何况王"
允礼,"我不是皇上,我的婚姻关联不到国运,太后也不会勉强我的,至于我所在意的意中人是否与我有相同的"
