speaker,dialogue,情感得分,情感分类,人物,台词
甄嬛,"槿汐,让我看看。槿汐这孔雀开屏栩栩如生,真好看。",0.9673653512138874,积极,甄嬛,"槿汐,让我看看。槿汐这孔雀开屏栩栩如生,真好看。"
流朱,是!,0.5262327818078083,中性,流朱,是!
槿汐,"哪里比得上小主的和合二仙呢?快看,跟要活过来了一样!",0.8955289849672298,积极,槿汐,"哪里比得上小主的和合二仙呢?快看,跟要活过来了一样!"
甄嬛,"世上本无和合二仙,我不过随意想个样子剪罢了。不过我听说有人剪纸可以剪得和真人一模一样,",0.9984425421021994,积极,甄嬛,"世上本无和合二仙,我不过随意想个样子剪罢了。不过我听说有人剪纸可以剪得和真人一模一样,"
佩儿,"小主啊,眼前就有个现成的。我刚才看见小允子剪了小主的小像,正藏在袖子里呢。",0.9402403193018327,积极,佩儿,"小主啊,眼前就有个现成的。我刚才看见小允子剪了小主的小像,正藏在袖子里呢。"
小允子,你别胡说。,0.21115106243467652,消极,小允子,你别胡说。
甄嬛,"小允子,那给我瞧瞧!",0.8642481045830787,积极,甄嬛,"小允子,那给我瞧瞧!"
众人,"快拿出来看看!拿出来看看!(小允子拿出奉上)呀,太像了!",0.06625063764036243,消极,众人,"快拿出来看看!拿出来看看!(小允子拿出奉上)呀,太像了!"
甄嬛,"小允子,你手好巧啊!",0.47629798174899574,中性,甄嬛,"小允子,你手好巧啊!"
槿汐,是啊。,0.5262327818078083,中性,槿汐,是啊。
小允子,"奴才手拙,剪不出小主的花容月貌,下次剪个更好的再给小主。",0.8181333768827234,积极,小允子,"奴才手拙,剪不出小主的花容月貌,下次剪个更好的再给小主。"
流朱,"是很像小主,不过光看这眉眼,倒有点像浣碧!",0.725030480882625,积极,流朱,"是很像小主,不过光看这眉眼,倒有点像浣碧!"
浣碧,我哪里能跟小主比呀。,0.6007971142404795,积极,浣碧,我哪里能跟小主比呀。
甄嬛,"让我看看。浣碧跟我时间久了,还真挺像的!",0.9001683823001436,积极,甄嬛,"让我看看。浣碧跟我时间久了,还真挺像的!"
流朱,那我怎么半点不像小主?,0.4167577436710941,中性,流朱,那我怎么半点不像小主?
甄嬛,"若人人都一模一样,可不要吓人了?不过你那贪玩的性子,倒和我挺像的。",0.11504896103110995,消极,甄嬛,"若人人都一模一样,可不要吓人了?不过你那贪玩的性子,倒和我挺像的。"
槿汐,"我听说宫中有这样的习俗:在除夕之夜,若是把心爱的东西挂到树枝上,而且挂得越高越好,便可",0.9922322644198794,积极,槿汐,"我听说宫中有这样的习俗:在除夕之夜,若是把心爱的东西挂到树枝上,而且挂得越高越好,便可"
甄嬛,"好主意!不过我看这院子里都是枯树枝,没什么可挂的。不如我们找个有梅花的地方,把小像挂上",0.7751204368914718,积极,甄嬛,"好主意!不过我看这院子里都是枯树枝,没什么可挂的。不如我们找个有梅花的地方,把小像挂上"
槿汐,好啊!,0.6558628208940429,积极,槿汐,好啊!
小允子,"倚梅园的梅花就好,离咱们这儿还近。",0.9833334955540237,积极,小允子,"倚梅园的梅花就好,离咱们这儿还近。"
甄嬛,是白梅吗?,0.5,中性,甄嬛,是白梅吗?
小允子,"是玉蕊檀心梅,开得像红云似的,好看极了。",0.7938633938904353,积极,小允子,"是玉蕊檀心梅,开得像红云似的,好看极了。"
甄嬛,"不错,雪花映着红梅簇簇,暗香浮动,这才算是良辰美景吧?我去看看!",0.017769540283747,消极,甄嬛,"不错,雪花映着红梅簇簇,暗香浮动,这才算是良辰美景吧?我去看看!"
众人,小主去不得!,0.5025370734601784,中性,众人,小主去不得!
小允子,"小主身子尚未大好,不能外出走动,况且皇后吩咐下来说小主身感时疾,不宜外出走动,若是传",0.0660680224784127,消极,小允子,"小主身子尚未大好,不能外出走动,况且皇后吩咐下来说小主身感时疾,不宜外出走动,若是传"
众人,是啊!,0.5262327818078083,中性,众人,是啊!
甄嬛,"这夜深人静的,大家都在侍宴呢。我一会穿着斗篷出去,既暖和又不显眼,何况我都病了那么久了,",0.05781398752384126,消极,甄嬛,"这夜深人静的,大家都在侍宴呢。我一会穿着斗篷出去,既暖和又不显眼,何况我都病了那么久了,"
众人,小主!,0.6007971142404795,积极,众人,小主!
甄嬛,"谁都不许跟着!我一个人去。谁要还敢拦着,我就罚他在雪地里守岁一晚!(跑开)",0.23256238522404493,消极,甄嬛,"谁都不许跟着!我一个人去。谁要还敢拦着,我就罚他在雪地里守岁一晚!(跑开)"
流朱,小主!,0.6007971142404795,积极,流朱,小主!
甄嬛,"自到宫中,人人都求皇恩盛宠,我一愿父母妹妹安康顺遂,二愿在宫中平安一世,了此残生。宫中",0.9980073916715667,积极,甄嬛,"自到宫中,人人都求皇恩盛宠,我一愿父母妹妹安康顺遂,二愿在宫中平安一世,了此残生。宫中"
甄嬛,"奴婢倚梅园的宫女,不想扰了尊驾,请恕罪。",0.8694085467330067,积极,甄嬛,"奴婢倚梅园的宫女,不想扰了尊驾,请恕罪。"
皇帝,你读过书吗?叫什么名字?,0.9135118367359354,积极,皇帝,你读过书吗?叫什么名字?
甄嬛,"奴婢贱名恐污了尊耳。(皇帝举步)哎-一别过来!我的鞋袜湿了,在换呢。(猫腰溜走)",0.9729295317557598,积极,甄嬛,"奴婢贱名恐污了尊耳。(皇帝举步)哎-一别过来!我的鞋袜湿了,在换呢。(猫腰溜走)"
允礼,今年的花开得和从前一样好啊。,0.8891075759120559,积极,允礼,今年的花开得和从前一样好啊。
允礼,"华妃折了许多梅花插瓶,她不是有意的。",0.11837154904429315,消极,允礼,"华妃折了许多梅花插瓶,她不是有意的。"
皇帝,"是朕有心。华妃进王府晚,她什么都不知道。",0.2608912683104567,消极,皇帝,"是朕有心。华妃进王府晚,她什么都不知道。"
允礼,"这么些年了,皇兄还放不下吗?",0.3928610942871341,消极,允礼,"这么些年了,皇兄还放不下吗?"
皇帝,"朕放不下什么?朕现在就等着开春后天气暖了,你来陪朕说说话、下下棋。",0.229204108212816,消极,皇帝,"朕放不下什么?朕现在就等着开春后天气暖了,你来陪朕说说话、下下棋。"
允礼,"皇兄之意正中臣弟下怀。不过此时臣弟闻得梅香醉人,想喝杯酒了。",0.9993479400650132,积极,允礼,"皇兄之意正中臣弟下怀。不过此时臣弟闻得梅香醉人,想喝杯酒了。"
皇帝,"这等美事,朕与你同去!",0.17599912686428987,消极,皇帝,"这等美事,朕与你同去!"
允礼,"踏雪寻梅,尽兴而归,当痛饮三杯。",0.776499666636247,积极,允礼,"踏雪寻梅,尽兴而归,当痛饮三杯。"
皇帝,还有一桩美事。,0.1837233963534416,消极,皇帝,还有一桩美事。
允礼,哦?,0.5262327818078083,中性,允礼,哦?
皇帝,"朕没有想到宫女里也有才学之辈,也算是意外之喜了。",0.9820468195735766,积极,皇帝,"朕没有想到宫女里也有才学之辈,也算是意外之喜了。"
允礼,那恭喜皇兄了。,0.5587848699792587,中性,允礼,那恭喜皇兄了。
