speaker,dialogue,情感得分,情感分类,人物,台词
对应集数,第56集,0.6798427911276061,积极,对应集数,第56集
太监,熹妃回宫 --,0.7085923308003611,积极,太监,熹妃回宫 --
甄嬛,"臣妾归来,恭祝皇上、皇后圣体康健、福泽万年。",0.9983086332873524,积极,甄嬛,"臣妾归来,恭祝皇上、皇后圣体康健、福泽万年。"
皇帝,一路可好吗?,0.8684082236440419,积极,皇帝,一路可好吗?
甄嬛,都好。,0.6781861578857119,积极,甄嬛,都好。
皇后,"皇上一告诉本宫你要回来,本宫开心得不得了啊。",0.6798983904000974,积极,皇后,"皇上一告诉本宫你要回来,本宫开心得不得了啊。"
甄嬛,多谢皇后娘娘关怀备至。,0.7827273829106413,积极,甄嬛,多谢皇后娘娘关怀备至。
皇帝,"果郡王既为册封使,便代朕将册封熹妃之旨晓谕六宫,此刻诸妃皆在,劳十七弟宣读吧。",0.9793049521868705,积极,皇帝,"果郡王既为册封使,便代朕将册封熹妃之旨晓谕六宫,此刻诸妃皆在,劳十七弟宣读吧。"
允礼,"是。奉天承运,皇帝诏曰:惟赞宫廷而衍庆,端赖柔嘉,钮祜禄甄嬛,毓质名门,温恭懋著,仰承皇太",0.9690993166867594,积极,允礼,"是。奉天承运,皇帝诏曰:惟赞宫廷而衍庆,端赖柔嘉,钮祜禄甄嬛,毓质名门,温恭懋著,仰承皇太"
皇帝,"这一路奔波劳苦,朕该好好谢谢你才是。",0.961907187350756,积极,皇帝,"这一路奔波劳苦,朕该好好谢谢你才是。"
允礼,"皇上若高兴的话,将珍藏的几幅古画赏给臣弟就是了,免得臣弟日思夜想。",0.9454536268103068,积极,允礼,"皇上若高兴的话,将珍藏的几幅古画赏给臣弟就是了,免得臣弟日思夜想。"
皇帝,"好,随你挑就是。当年为祈国运昌隆,熹妃诞下四阿哥后,不顾一己之身,自请出宫祈福,朕感其心意,",0.9958848074953174,积极,皇帝,"好,随你挑就是。当年为祈国运昌隆,熹妃诞下四阿哥后,不顾一己之身,自请出宫祈福,朕感其心意,"
康常在,听说熹妃就是以前的莞嫔?,0.7393823140847845,积极,康常在,听说熹妃就是以前的莞嫔?
贞嫔,"是不是又怎样,皇上说她是谁,她就是谁。",0.3724107845740364,消极,贞嫔,"是不是又怎样,皇上说她是谁,她就是谁。"
陵容,"妹妹只当此生再不能见姐姐了,不想还有今日。",0.9148923910478602,积极,陵容,"妹妹只当此生再不能见姐姐了,不想还有今日。"
甄嬛,"多年不见妹妹,妹妹一切如旧。",0.6451961385804049,积极,甄嬛,"多年不见妹妹,妹妹一切如旧。"
敬妃,"熹妃今日气色不是上佳,兴许是舟车劳顿,有孕在身的人不宜在风口中久站,还是早点回去休息吧。惠",0.8429979676189694,积极,敬妃,"熹妃今日气色不是上佳,兴许是舟车劳顿,有孕在身的人不宜在风口中久站,还是早点回去休息吧。惠"
陵容,"皇上为了姐姐的永寿宫费尽心思,又在库里寻了多少积年的珍宝出来,也不让咱们看新鲜,只等姐姐回",0.9913235771609036,积极,陵容,"皇上为了姐姐的永寿宫费尽心思,又在库里寻了多少积年的珍宝出来,也不让咱们看新鲜,只等姐姐回"
皇帝,"日后总有去的时候,何必急于一时呢?先让熹妃安顿下来再说不迟。朕陪你回永寿宫。",0.7633346145775729,积极,皇帝,"日后总有去的时候,何必急于一时呢?先让熹妃安顿下来再说不迟。朕陪你回永寿宫。"
