speaker,dialogue,情感得分,情感分类,人物,台词
对应集数,第63集 (这场戏横跨两集，是全剧高潮),0.9997609624059972,积极,对应集数,第63集 (这场戏横跨两集，是全剧高潮)
祺贵人,看来熹贵妃与你的情谊还真不一般呢,0.7274248745305639,积极,祺贵人,看来熹贵妃与你的情谊还真不一般呢
温太医,小主，你,0.6007971142404795,积极,温太医,小主，你
熹贵妃,斐雯，你在宫里的这些日子，本宫倒没瞧出你有这份心胸,0.8458258976628779,积极,熹贵妃,斐雯，你在宫里的这些日子，本宫倒没瞧出你有这份心胸
斐雯,奴婢伺候娘娘，有什么心胸都牵挂在娘娘身上，但是奴婢在宫里当差，只能对皇上一人尽忠，若有得罪还请娘娘恕罪。,0.6354078066837592,积极,斐雯,奴婢伺候娘娘，有什么心胸都牵挂在娘娘身上，但是奴婢在宫里当差，只能对皇上一人尽忠，若有得罪还请娘娘恕罪。
熹贵妃,你对皇上尽忠也算得罪本宫的话，岂非要治本宫于不忠不义之地了 （对皇后）容臣妾问她几句话 （对斐雯）斐雯，无论今日之事结局如何，你都不能再回永寿宫，再伺候本宫了,0.9996422981254341,积极,熹贵妃,你对皇上尽忠也算得罪本宫的话，岂非要治本宫于不忠不义之地了 （对皇后）容臣妾问她几句话 （对斐雯）斐雯，无论今日之事结局如何，你都不能再回永寿宫，再伺候本宫了
斐雯,只要是在宫里伺候，无论服侍哪位小主，奴婢都会赴汤蹈火在所不辞,0.548231562758294,中性,斐雯,只要是在宫里伺候，无论服侍哪位小主，奴婢都会赴汤蹈火在所不辞
熹贵妃,很好，好歹主仆一场，今日你既来揭发本宫的私隐，想必也是知道是最后一遭伺候本宫了。自己份内之事也该做好。我问你，你出来前，可把正殿紫檀桌上的琉璃花樽给擦拭干净了,0.9995759396780659,积极,熹贵妃,很好，好歹主仆一场，今日你既来揭发本宫的私隐，想必也是知道是最后一遭伺候本宫了。自己份内之事也该做好。我问你，你出来前，可把正殿紫檀桌上的琉璃花樽给擦拭干净了
斐雯,已经擦了,0.3380281690140846,消极,斐雯,已经擦了
谨悉,胡言乱语，娘娘的紫檀桌上何曾有琉璃花樽，那分明是青玉的,0.009185733466132717,消极,谨悉,胡言乱语，娘娘的紫檀桌上何曾有琉璃花樽，那分明是青玉的
斐雯,是奴婢记错了，是青玉花樽,0.9131472455940143,积极,斐雯,是奴婢记错了，是青玉花樽
敬妃,看来斐雯的记性不大好啊，难为你了，还能记得温太医袖口上的花纹,0.5943784875071743,中性,敬妃,看来斐雯的记性不大好啊，难为你了，还能记得温太医袖口上的花纹
斐雯,奴婢记得，是青玉花樽，没错,0.9332868452888445,积极,斐雯,奴婢记得，是青玉花樽，没错
熹贵妃,正殿紫檀桌上从未放过什么琉璃花樽，你伺候本宫，不把心思放在正经事上，到日日留心哪位太医的手搭了本宫的手，翻出来的袖口上绣了什么花样（对皇后）这些情景若是放了旁人，是看都不敢看（对斐雯）为何你连了枝叶末节都这般留意，如此居心实在可疑,0.6374521295579801,积极,熹贵妃,正殿紫檀桌上从未放过什么琉璃花樽，你伺候本宫，不把心思放在正经事上，到日日留心哪位太医的手搭了本宫的手，翻出来的袖口上绣了什么花样（对皇后）这些情景若是放了旁人，是看都不敢看（对斐雯）为何你连了枝叶末节都这般留意，如此居心实在可疑
斐雯,奴婢日夜心里只牵挂着这件大事，哪里还留心的了别的事情,0.9560498814584663,积极,斐雯,奴婢日夜心里只牵挂着这件大事，哪里还留心的了别的事情
端妃,想来若温太医和熹贵妃真有私情，自然是会防着别人的，怎么斐雯回回都能瞧得见，还瞧得那么真切，难道斐雯，事事分外留心主子的一言一行？,0.9989005230255402,积极,端妃,想来若温太医和熹贵妃真有私情，自然是会防着别人的，怎么斐雯回回都能瞧得见，还瞧得那么真切，难道斐雯，事事分外留心主子的一言一行？
敬妃,你这丫头，真是。竟敢日日盯着熹贵妃私自窥探。皇后娘娘，臣妾认为，此事颇为蹊跷，定是幕后有人主使，这丫头讲的话不能相信。恐怕后面还有更大的阴谋呢,0.9995275638910002,积极,敬妃,你这丫头，真是。竟敢日日盯着熹贵妃私自窥探。皇后娘娘，臣妾认为，此事颇为蹊跷，定是幕后有人主使，这丫头讲的话不能相信。恐怕后面还有更大的阴谋呢
欣贵人,臣妾疑惑，祺贵人住在交芦馆，斐雯是永寿宫的宫女，既然人人皆知祺贵人向来不敬熹贵妃，为何永寿宫的宫女会和祺贵人一起来向皇后揭发此事呢,0.9998287650177693,积极,欣贵人,臣妾疑惑，祺贵人住在交芦馆，斐雯是永寿宫的宫女，既然人人皆知祺贵人向来不敬熹贵妃，为何永寿宫的宫女会和祺贵人一起来向皇后揭发此事呢
