speaker,dialogue,情感得分,情感分类,人物,台词
对应集数,第45集 (这是甄嬛命运的绝对转折点),0.9437379333129482,积极,对应集数,第45集 (这是甄嬛命运的绝对转折点)
甄嬛,寄予宛宛爱妻，念悲去，独余斯良苦此身，常自魂牵梦萦，忧思难忘，纵得菀菀，菀菀类卿，暂排苦思，亦除却巫山非云也，除去巫山非云也，好一个除去巫山非云也，难道我得到的一切，全是因为纯元皇后，为了一个菀菀类卿，那我算什么？我究竟算什么？,0.9999999977567664,积极,甄嬛,寄予宛宛爱妻，念悲去，独余斯良苦此身，常自魂牵梦萦，忧思难忘，纵得菀菀，菀菀类卿，暂排苦思，亦除却巫山非云也，除去巫山非云也，好一个除去巫山非云也，难道我得到的一切，全是因为纯元皇后，为了一个菀菀类卿，那我算什么？我究竟算什么？
皇上,你知道了，其实能有几分像菀莞，也算是你的福气。,0.5175522459414457,中性,皇上,你知道了，其实能有几分像菀莞，也算是你的福气。
甄嬛,是吗?究竟是我的福还是我的孽?何止是皇上错了，我更是错了。这几年的情爱与时光，究竟是错付了。,0.9990790739293914,积极,甄嬛,是吗?究竟是我的福还是我的孽?何止是皇上错了，我更是错了。这几年的情爱与时光，究竟是错付了。
苏培盛,皇上。,0.6611822344841426,积极,苏培盛,皇上。
皇上,什么事？快说。,0.5354293913886036,中性,皇上,什么事？快说。
苏培盛,大牢来人禀报，说甄大人得了鼠疫，性命垂危。娘娘，娘娘，娘娘您是有孕之身千万要保重呀。,0.0669202041299396,消极,苏培盛,大牢来人禀报，说甄大人得了鼠疫，性命垂危。娘娘，娘娘，娘娘您是有孕之身千万要保重呀。
甄嬛,皇上，皇上圣意已决，事不可违，但臣妾父亲蒙冤，还请皇上救活臣妾父亲，不使父亲含冤而死，一切罪责臣妾愿意承担。,0.9992821898458868,积极,甄嬛,皇上，皇上圣意已决，事不可违，但臣妾父亲蒙冤，还请皇上救活臣妾父亲，不使父亲含冤而死，一切罪责臣妾愿意承担。
皇上,知道了。(挥了一下手，让苏培盛把莞嫔拉走),0.995128980171741,积极,皇上,知道了。(挥了一下手，让苏培盛把莞嫔拉走)
苏培盛,走吧，娘娘，娘娘。,0.5308414822084568,中性,苏培盛,走吧，娘娘，娘娘。
