speaker,dialogue,情感得分,情感分类,人物,台词
对应集数,第29集,0.4764553180770126,中性,对应集数,第29集
甄嬛,你在外头候着，谨汐会陪我进去。,0.12399507676849697,消极,甄嬛,你在外头候着，谨汐会陪我进去。
浣碧,是。,0.5262327818078083,中性,浣碧,是。
甄嬛,给贵妃娘娘请安，嫔妾晨起不适，所以来晚了，还请娘娘恕罪。,0.09234483468362142,消极,甄嬛,给贵妃娘娘请安，嫔妾晨起不适，所以来晚了，还请娘娘恕罪。
华妃,知道你有孕在身，难免娇贵些，起来吧。,0.9281796202648401,积极,华妃,知道你有孕在身，难免娇贵些，起来吧。
安陵容,这玫瑰乳酥是糕点中最香的，可是经贵妃娘娘宫中的香一熏，便觉得索然无味了，恕嫔妾斗胆，不知娘娘宫中焚的是什么香。,0.20627509645578657,消极,安陵容,这玫瑰乳酥是糕点中最香的，可是经贵妃娘娘宫中的香一熏，便觉得索然无味了，恕嫔妾斗胆，不知娘娘宫中焚的是什么香。
华贵妃,安常在的鼻子倒好，这是皇上命人为本宫精心调制的香料，叫做欢宜香，宫中唯独本宫一人可用。,0.9982301728872687,积极,华贵妃,安常在的鼻子倒好，这是皇上命人为本宫精心调制的香料，叫做欢宜香，宫中唯独本宫一人可用。
安陵容,嫔妾见识浅薄，不如娘娘见多识广。,0.8687281366059174,积极,安陵容,嫔妾见识浅薄，不如娘娘见多识广。
曹贵人,安妹妹侍奉皇上晚，自然有所不知，这欢宜香还是皇上在王府的时候就独许贵妃娘娘所用，其中所加的一味龙涎香还是先帝赐予皇上的，皇上就取了其中一半用来给贵妃娘娘制作欢宜香。,0.9999963293681996,积极,曹贵人,安妹妹侍奉皇上晚，自然有所不知，这欢宜香还是皇上在王府的时候就独许贵妃娘娘所用，其中所加的一味龙涎香还是先帝赐予皇上的，皇上就取了其中一半用来给贵妃娘娘制作欢宜香。
华贵妃,成年往事了，你说这些做什么。,0.9788870726312693,积极,华贵妃,成年往事了，你说这些做什么。
曹贵人,是，嫔妾多嘴了。,0.7447639870626535,积极,曹贵人,是，嫔妾多嘴了。
华妃,近日宫中的宫女、太监拌嘴打架的不少，趁着这段时候得空，宫里也该好好地整治整治了，宫中的宫女、太监拌嘴打架，无非是依仗着各位小主的权势宠幸，奴才如此，必然是上梁不正才下梁歪，譬如富察贵人，当日借着自己有身孕便恃宠而骄，倘若还有人不知教训，继续步富察贵人的后尘，那就太不应该了，莞嫔，你可知罪呀，今日各嫔妃齐聚翊坤宫听事，莞嫔无故来迟，目无本宫，还不快跪下。,0.9988956314567574,积极,华妃,近日宫中的宫女、太监拌嘴打架的不少，趁着这段时候得空，宫里也该好好地整治整治了，宫中的宫女、太监拌嘴打架，无非是依仗着各位小主的权势宠幸，奴才如此，必然是上梁不正才下梁歪，譬如富察贵人，当日借着自己有身孕便恃宠而骄，倘若还有人不知教训，继续步富察贵人的后尘，那就太不应该了，莞嫔，你可知罪呀，今日各嫔妃齐聚翊坤宫听事，莞嫔无故来迟，目无本宫，还不快跪下。
甄嬛,嫔妾知错，方才就已请罪。,0.7635655174821748,积极,甄嬛,嫔妾知错，方才就已请罪。
华贵妃,如今便目无尊卑，倘若来日诞下皇子你又要怎样的，岂非整个后宫都要跟你姓甄。,0.7634681249222756,积极,华贵妃,如今便目无尊卑，倘若来日诞下皇子你又要怎样的，岂非整个后宫都要跟你姓甄。
甄嬛,贵妃娘娘虽生气，但嫔妾却不得不说，富察贵人有孕时，皇上和皇后都加以照拂，这不是为了富察贵人，而是为了宗庙社稷。嫔妾今日也并非无故来迟，就算今日嫔妾有所冒犯，但上有太后和皇后，方才贵妃娘娘所说的后宫随甄姓，实在叫嫔妾惶恐。,0.9840194986904753,积极,甄嬛,贵妃娘娘虽生气，但嫔妾却不得不说，富察贵人有孕时，皇上和皇后都加以照拂，这不是为了富察贵人，而是为了宗庙社稷。嫔妾今日也并非无故来迟，就算今日嫔妾有所冒犯，但上有太后和皇后，方才贵妃娘娘所说的后宫随甄姓，实在叫嫔妾惶恐。
