发送日期,发送时间,发送年份,时间位置,出现时间秒,弹幕内容,用户ID,弹幕颜色,颜色代码,弹幕模式,字体大小,弹幕长度
2025/7/24,19:46:45,2025,10:29,629.63,都别吵了 像甄远道,7f38df30...,白色,#FFFFFF,滚动弹幕,正常,9
2025/9/5,21:03:48,2025,16:28,988.99,“皇上自始至终都没有找到真正的甄嬛”，这话太让人唏嘘了。up太深刻了,47d8e73e...,白色,#FFFFFF,滚动弹幕,正常,34
2025/8/5,20:58:55,2025,16:41,1001.89,而且小像被摘走了 所以甄嬛的愿望也没有实现,126e60b5...,白色,#FFFFFF,顶部弹幕,正常,21
2025/9/17,23:42:10,2025,11:36,696.36,右边老十在疯狂攻击食物,6947bf4c...,白色,#FFFFFF,滚动弹幕,正常,11
2025/8/2,13:14:05,2025,10:40,640.59,到底是誰斟酒的 裝那麼滿讓領導要這般小心端起來,ba05d9d8...,白色,#FFFFFF,滚动弹幕,正常,23
2025/7/28,0:54:55,2025,16:49,1009.21,还有以前的纯元呢，六个人,c3450ef6...,白色,#FFFFFF,顶部弹幕,正常,12
2025/8/11,0:33:00,2025,0:33,33.74,眉姐姐真好看啊...,b1765ae5...,白色,#FFFFFF,滚动弹幕,正常,10
2025/8/20,16:46:41,2025,2:12,132.05,眉姐姐就是典型的大家闺秀，出身名门，知书达理，貌美得体，对胖橘来说就是少了点有趣吧,76fe3bbb...,白色,#FFFFFF,滚动弹幕,正常,41
2025/7/30,23:11:38,2025,12:48,768.82,唉，这段相遇还是很浪漫的,732c1033...,白色,#FFFFFF,滚动弹幕,正常,12
2025/8/23,21:46:19,2025,15:41,941.55,蛄蛹者,52a615e6...,白色,#FFFFFF,滚动弹幕,正常,3
2025/9/28,19:53:38,2025,19:31,1171.88,苏培盛好严谨啊太监也包括哈哈哈哈哈,1e4d657...,白色,#FFFFFF,滚动弹幕,正常,17
2025/8/5,17:48:27,2025,5:13,313.26,啊啊啊啊啊我不行了,cce2c89c...,白色,#FFFFFF,滚动弹幕,正常,9
2025/9/2,12:19:52,2025,6:32,392.36,甄嬛见证了夏常在被赏一丈红后又在御花园的水井里看到死了的福子成了泡芙，被吓到，想避宠，就半推半就装病重,7814d802...,白色,#FFFFFF,滚动弹幕,正常,51
2025/8/25,13:57:43,2025,7:55,475.07,救命皇后这个恨铁不成钢的语气,aebd871c...,白色,#FFFFFF,滚动弹幕,正常,14
2025/8/16,23:07:57,2025,13:37,817.26,成片的红梅也在暗示观众胖橘对嬛嬛的所谓爱情始终笼罩在纯元的影子下,3904b081...,白色,#FFFFFF,滚动弹幕,正常,32
2025/8/9,13:26:44,2025,11:54,714.59,喝高了,7a33051e...,白色,#FFFFFF,滚动弹幕,正常,3
2025/8/6,23:45:03,2025,20:17,1217.81,余莺儿：大概是这么发音？,2324c128...,白色,#FFFFFF,滚动弹幕,正常,12
2025/7/29,21:21:53,2025,17:10,1030.61,她记性也是厉害，过了一夜还没忘,17bcdb71...,白色,#FFFFFF,滚动弹幕,正常,15
2025/7/25,19:05:25,2025,9:39,579.28,N人 我笑死,1af8bd1...,白色,#FFFFFF,滚动弹幕,正常,6
2025/9/20,14:22:57,2025,22:52,1372.62,我觉得大橘这里表情是已经感觉不对了，毕竟那天晚上嬛嬛百般推辞，余氏这里太过用力，反而没有那种欲迎还拒的美感。但他想着来都来了，看看她表现,681f0eae...,白色,#FFFFFF,滚动弹幕,正常,68
2025/8/10,17:19:41,2025,24:17:00,1457.61,权力本身就极具魅力，更别说还会吟诗作赋,f0486d91...,白色,#FFFFFF,滚动弹幕,正常,19
2025/8/6,23:24:52,2025,1:33,93.54,真的很爱这种气节！爱眉姐姐！,2324c128...,白色,#FFFFFF,滚动弹幕,正常,14
2025/7/25,1:10:26,2025,7:37,457.95,每次up的暂停都笑晕我,477f2dbd...,白色,#FFFFFF,滚动弹幕,正常,11
2025/9/11,6:31:32,2025,0:34,34.54,第一次看这里被眉姐姐的美和娇羞震撼！,37046f72...,其他颜色,#00CD00,滚动弹幕,正常,18
2025/8/29,21:22:15,2025,16:48,1008.76,小像也被好好的珍藏了，和果郡王对嬛嬛一样,234d84e4...,白色,#FFFFFF,滚动弹幕,正常,20
2025/8/7,22:50:34,2025,3:24,204.95,眉庄应该说，嫔妾还太年轻，心思应该放在服侍皇上上面,63bf0425...,白色,#FFFFFF,滚动弹幕,正常,25
2025/8/7,9:17:31,2025,18:09,1089.11,真爱十三弟还病得起不来床,cf0ed498...,白色,#FFFFFF,滚动弹幕,正常,12
2025/8/6,23:27:16,2025,2:57,177.36,该上班了，阿眉,2324c128...,白色,#FFFFFF,滚动弹幕,正常,7
2025/7/27,20:58:02,2025,22:53,1373.7,好生硬的对暗号哈哈,31048cad...,白色,#FFFFFF,滚动弹幕,正常,9
2025/9/20,13:43:43,2025,1:52,112.44,漂亮有文化，懂事，家世好，很难不喜欢,681f0eae...,白色,#FFFFFF,滚动弹幕,正常,18
2025/9/17,13:11:18,2025,1:47,107.71,我觉得皇上后面对眉庄有点喜爱，也是因为发现她很有文化又漂亮,6b5de858...,白色,#FFFFFF,滚动弹幕,正常,29
2025/9/5,19:38:03,2025,10:04,604.93,小允子暗恋甄嬛,285426d2...,白色,#FFFFFF,滚动弹幕,正常,7
