发送日期,发送时间,发送年份,时间位置,出现时间秒,弹幕内容,用户ID,弹幕颜色,颜色代码,弹幕模式,字体大小,弹幕长度
2025-06-13,20:51:17,2025,0:27,27.73,端妃早就知道了,7e3ac0b9...,白色,#FFFFFF,滚动弹幕,正常,7
2025-06-15,18:17:09,2025,0:49,49.34,端妃这个钿头好美,6806aeb0...,白色,#FFFFFF,滚动弹幕,正常,8
2025-06-21,22:43:40,2025,0:33,33.83,她还叫她陵容,76c8ef44...,白色,#FFFFFF,滚动弹幕,正常,6
2025-10-19,22:02:42,2025,1:59,119.14,皇上好傲慢，他没想过自己得兄弟都能手足相残，宜修不会心生怨恨吗,355a5d86...,白色,#FFFFFF,滚动弹幕,正常,31
2025-11-04,19:33:19,2025,2:15,135.17,嫔妃在皇上眼里都是宠物，他才不会去理解宠物的心理,ccab487b...,白色,#FFFFFF,滚动弹幕,正常,24
2025-06-20,21:04:36,2025,2:46,166.34,经常看推理小说，推理剧的我，毫无波澜,788a83c7...,白色,#FFFFFF,滚动弹幕,正常,18
2025-10-26,23:43:22,2025,2:25,145.81,头脑风暴,b548aede...,白色,#FFFFFF,滚动弹幕,正常,4
2025-06-21,19:14:52,2025,0:09,9.71,为什么不直接说呢？,c598e2ae...,深红色,#E70012,滚动弹幕,正常,9
2025-06-20,22:10:21,2025,1:56,116.32,皇帝也是有病哦,6bf7422e...,白色,#FFFFFF,滚动弹幕,正常,7
2025-06-20,19:54:07,2025,0:57,57.28,9,155acfc6...,白色,#FFFFFF,滚动弹幕,正常,1
2025-06-19,22:24:26,2025,0:47,47.41,宜修害死了纯元,dd86420b...,白色,#FFFFFF,滚动弹幕,正常,7
2025-06-14,00:59:05,2025,1:15,75.08,全是大胖橘的错,3ea9939c...,白色,#FFFFFF,滚动弹幕,正常,7
