发送日期,发送时间,发送年份,时间位置,出现时间秒,弹幕内容,用户ID,弹幕颜色,颜色代码,弹幕模式,字体大小,弹幕长度
2024/8/10,12:42:13,2024,7:42,462.88,所以后面想明白了才有了“这个莞字不好”,4d4df73d...,白色,#FFFFFF,滚动弹幕,正常,19
2024/8/10,13:40:06,2024,6:49,409.99,之前看就感觉大橘这里是恼羞成怒，根本不是生甄嬛的气,2d6508f...,白色,#FFFFFF,滚动弹幕,正常,25
2024/8/9,22:51:08,2024,7:12,432.26,他就是因为没有把甄嬛认出来，才发现自己已经渐渐忘了纯元，接纳甄嬛了，所以他破防了,466991e2...,白色,#FFFFFF,滚动弹幕,正常,40
2024/8/10,8:46:02,2024,8:48,528.97,这里大橘真的有一种少年人的冲动，演的好好,466991e2...,白色,#FFFFFF,滚动弹幕,正常,20
2024/8/9,22:35:44,2024,6:11,371.06,好久没看见少爷这样笑了,142e023...,白色,#FFFFFF,顶部弹幕,正常,11
2024/8/9,23:00:12,2024,2:19,139.3,果郡王：今天怎么又登录不上了~~,85a2a8c7...,其他颜色,#00CD00,顶部弹幕,正常,16
2024/8/10,16:14:16,2024,2:27,147.55,我猜测大橘和嬛嬛初见cos果郡王的原因其实是因为他想听嬛嬛叫他王爷，就和当初纯元入王府时一样，真是沉浸式莞莞类卿,bb2fc530...,白色,#FFFFFF,滚动弹幕,正常,56
2024/8/9,21:50:13,2024,8:34,514.04,这里太后是真吓到了,466991e2...,白色,#FFFFFF,滚动弹幕,正常,9
2024/8/10,9:30:33,2024,2:02,122.98,纯天然手办,466991e2...,白色,#FFFFFF,滚动弹幕,正常,5
2024/8/10,17:45:06,2024,2:06,126.19,最重要的是更年轻貌美，更不费功夫就能得到,ebdd574e...,白色,#FFFFFF,滚动弹幕,正常,20
2024/8/9,21:50:38,2024,8:39,519.79,这个镜头剪的太好了！他坐回去，而她离开了,466991e2...,白色,#FFFFFF,滚动弹幕,正常,20
2024/8/10,9:42:19,2024,3:22,202.18,似乎年岁不大对…………,466991e2...,白色,#FFFFFF,滚动弹幕,正常,11
2024/8/10,15:06:14,2024,7:28,448.37,大橘也在这个时候恶补与纯元的回忆，他不明白自己的内心,1dbb6201...,白色,#FFFFFF,滚动弹幕,正常,26
2024/8/10,8:37:27,2024,3:30,210.19,如果甄嬛落选，说不定遇到果郡王两人也能一生一世,466991e2...,白色,#FFFFFF,滚动弹幕,正常,23
2024/8/9,21:49:11,2024,7:53,473.45,她该多难过呢唉,466991e2...,白色,#FFFFFF,滚动弹幕,正常,7
2024/8/11,5:16:01,2024,6:57,417.85,“在你眼中我是谁”,a2c3ad72...,白色,#FFFFFF,滚动弹幕,正常,9
2024/8/10,22:38:34,2024,7:22,442.46,太后的话原来是这个意思,466991e2...,白色,#FFFFFF,滚动弹幕,正常,11
2024/8/9,21:48:45,2024,7:35,455.34,对，困住的是甄嬛,466991e2...,白色,#FFFFFF,滚动弹幕,正常,8
2024/8/11,21:38:26,2024,0:05,5.01,鸟嬛仙品,5133a001...,白色,#FFFFFF,滚动弹幕,正常,4
