发送日期,发送时间,发送年份,时间位置,出现时间秒,弹幕内容,用户ID,弹幕颜色,颜色代码,弹幕模式,字体大小,弹幕长度
2025/2/26,11:47:39,2025,9:56,596.19,蒋欣演技封神,e1bfbfde...,白色,#FFFFFF,滚动弹幕,正常,6
2025/3/13,15:10:43,2025,1:35,95.99,皇后：嗨害嗨！来了昂,cbb6969e...,白色,#FFFFFF,滚动弹幕,正常,10
2025/6/16,22:45:35,2025,12:27,747.68,吃亏在没见过纯元,c913d455...,白色,#FFFFFF,滚动弹幕,正常,8
2025/3/21,12:16:54,2025,14:30,870.83,蒋欣演得好,a473c6f0...,白色,#FFFFFF,滚动弹幕,正常,5
2025/8/20,22:38:47,2025,14:50,890.3,华妃曾经也是个明媚的少女啊！被皇帝这个老登害得,f37d9082...,白色,#FFFFFF,滚动弹幕,正常,23
2025/6/9,23:57:14,2025,8:24,504.47,华妃真的是爱皇上爱到自己骗自己,7ab32f5e...,白色,#FFFFFF,滚动弹幕,正常,15
2025/3/23,17:45:25,2025,12:32,752.79,欣姐的原声和演技太牛了,659599fd...,白色,#FFFFFF,滚动弹幕,正常,11
2025/3/10,17:43:04,2025,17:07,1027.03,珠翠的声音真好听,dd54e3c8...,白色,#FFFFFF,滚动弹幕,正常,8
2025/3/8,0:22:32,2025,8:03,483.49,和最开始，甄嬛“以色事他人，能得几时好”对应上了，她当时就没再嘲讽华妃,7abaa6ed...,亮黄色,#FEF102,滚动弹幕,正常,35
2025/2/25,0:53:55,2025,9:39,579.94,其实就是恃宠而骄嘛,6cd5ab52...,白色,#FFFFFF,滚动弹幕,正常,9
2025/7/12,23:26:11,2025,0:53,53.39,眉姐姐不愧也是将门之女，好血性,fdd24ede...,白色,#FFFFFF,滚动弹幕,正常,15
2025/4/24,23:36:17,2025,14:00,840.06,我当时看到这才发现皇上也好狠毒,f67f2514...,白色,#FFFFFF,滚动弹幕,正常,15
2025/7/13,0:04:26,2025,11:38,698.64,端妃是替皇上背锅的,fdd24ede...,白色,#FFFFFF,滚动弹幕,正常,9
2025/4/24,23:32:52,2025,10:33,633.53,年世兰和皇后都是太爱皇上了 甄嬛不会陷得那么深,f67f2514...,白色,#FFFFFF,滚动弹幕,正常,23
2025/3/29,21:06:48,2025,15:08,908.11,这个一瞬间的眼神，鸡皮疙瘩出来了,276b6e7c...,白色,#FFFFFF,滚动弹幕,正常,16
2025/3/17,19:57:58,2025,10:25,625.44,只能说蒋欣演的真好，令人动容,91ba3d82...,白色,#FFFFFF,滚动弹幕,正常,14
2025/7/21,13:07:08,2025,11:55,715.5,让一个孕妇烈日下跪一个小时，然后说没有要杀她的孩子。。。,b31fcd9d...,白色,#FFFFFF,滚动弹幕,正常,28
2025/6/10,0:03:38,2025,13:16,796.73,欢宜香：我还是扛下了所有,7ab32f5e...,白色,#FFFFFF,滚动弹幕,正常,12
