发送日期,发送时间,发送年份,时间位置,出现时间秒,弹幕内容,用户ID,弹幕颜色,颜色代码,弹幕模式,字体大小,弹幕长度
2025/3/18,9:15:24,2025,4:17,257.41,小叶子精神状态领先大清100年,227c5f0f...,白色,#FFFFFF,滚动弹幕,正常,15
2025/3/20,13:03:08,2025,9:45,585.09,这一段好搞笑,b63fcc57...,白色,#FFFFFF,滚动弹幕,正常,6
2025/4/3,19:22:55,2025,9:40,580.67,初哥人傻了,578c4eb1...,白色,#FFFFFF,滚动弹幕,正常,5
2025/5/10,17:38:10,2025,25:06:00,1506.11,苏菲可是全剧唯一双商在线的真男人,659599fd...,白色,#FFFFFF,滚动弹幕,正常,16
2025/4/2,12:24:31,2025,11:21,681.97,是皇上要害果郡王嘛？,eab4cccb...,白色,#FFFFFF,滚动弹幕,正常,10
2025/3/19,21:59:19,2025,22:26,1346.19,果子：我这死嘴！,350aaa20...,白色,#FFFFFF,滚动弹幕,正常,8
2025/3/18,9:16:19,2025,4:55,295.65,眉姐姐：马上觉醒！,227c5f0f...,白色,#FFFFFF,滚动弹幕,正常,9
2025/7/16,19:12:33,2025,9:46,586.7,温太医左看右看,fdd24ede...,白色,#FFFFFF,滚动弹幕,正常,7
2025/3/19,22:02:45,2025,25:39:00,1539.54,幸好剧版苏菲是好男人,350aaa20...,白色,#FFFFFF,滚动弹幕,正常,10
2025/3/18,18:04:18,2025,14:20,860.03,背后的剪秋消失又出现 出现又消失 哈哈哈哈哈哈,2d7fe57d...,白色,#FFFFFF,滚动弹幕,正常,23
2025/3/18,12:51:24,2025,8:03,483.14,每日细思密恐,7e9a7ce3...,白色,#FFFFFF,滚动弹幕,正常,6
2025/8/22,22:54:52,2025,10:24,624.1,这两人,245bec4...,白色,#FFFFFF,滚动弹幕,正常,3
2025/7/20,20:07:49,2025,15:24,924.5,其实只要纯元的孩子平安长大，皇后+太子，乌拉那拉完全不可动摇,d8aac93d...,白色,#FFFFFF,滚动弹幕,正常,30
