发送日期,发送时间,发送年份,时间位置,出现时间秒,弹幕内容,用户ID,弹幕颜色,颜色代码,弹幕模式,字体大小,弹幕长度
2023/11/20,11:07:18,2023,7:50,470.46,这儿明显就能看出来语气缓和了，要轻轻放下了,dd3d0438...,白色,#FFFFFF,滚动弹幕,正常,21
2023/11/16,4:47:05,2023,5:57,357.66,年羹尧：容不下也得容捏,f2db0da8...,白色,#FFFFFF,滚动弹幕,正常,11
2023/11/19,20:22:45,2023,0:22,22.68,叉烧芬出戏中…,4e65ec07...,亮黄色,#FEF102,滚动弹幕,正常,7
2023/11/16,19:18:03,2023,3:42,222.24,华妃从来不觉得自己有错，居然还有人说她可怜,8f26e3a4...,白色,#FFFFFF,滚动弹幕,正常,21
2023/11/14,22:14:59,2023,1:11,71.63,应该不会吧，这一胎是皇后让小鸟打的呀,ec20bf70...,白色,#FFFFFF,顶部弹幕,正常,18
2023/11/15,23:51:21,2023,0:52,52.84,这个时候皇上还没想到有欢宜香的原因,69e2d8dc...,白色,#FFFFFF,滚动弹幕,正常,17
2023/11/15,20:23:33,2023,3:38,218.66,华妃离真相最近的一次,aa96aa29...,白色,#FFFFFF,滚动弹幕,正常,10
2023/11/15,16:47:27,2023,8:11,491.14,好了，定性了，无心之失,9b2681dd...,白色,#FFFFFF,滚动弹幕,正常,11
2023/11/19,22:49:56,2023,8:07,487.63,语气已经柔和了,1ee2f555...,白色,#FFFFFF,滚动弹幕,正常,7
2023/11/15,13:06:08,2023,7:09,429.02,甄嬛什么时候凌辱她和处事嚣张了啊,340e6619...,白色,#FFFFFF,滚动弹幕,正常,16
2023/11/15,10:16:45,2023,4:18,258.38,两个时辰，4个小时，妈呀～,a1810ade...,白色,#FFFFFF,滚动弹幕,正常,13
2024/4/19,21:41:20,2024,4:50,290.65,纯元也不是无辜,242d77ab...,白色,#FFFFFF,滚动弹幕,正常,7
2024/2/23,9:06:17,2024,4:48,288.14,“仁慈”,9364443...,白色,#FFFFFF,滚动弹幕,正常,4
2024/2/14,22:49:18,2024,7:03,424,宫里最跋扈的说别人嚣张，笑死了,2c28acf9...,白色,#FFFFFF,滚动弹幕,正常,15
2024/2/10,17:37:54,2024,2:25,145.78,这个好像是蜀锦玉鞋事件见太后的时候穿的,4cfc87f5...,白色,#FFFFFF,滚动弹幕,正常,19
2023/12/2,10:47:36,2023,2:41,161.18,没有人敢冲撞你，是你硬要展现自己的威风,6201cce5...,深红色,#E70012,滚动弹幕,正常,19
2023/11/29,1:38:20,2023,5:22,322.02,不，甄嬛也差远了，纯元就是断层第一,bb674d01...,白色,#FFFFFF,滚动弹幕,正常,17
2023/11/29,1:33:51,2023,3:47,227.82,他不说，应该是知道欢宜香是皇帝的,bb674d01...,深红色,#E70012,滚动弹幕,正常,16
2023/11/29,1:33:16,2023,3:45,225.08,还有皇帝的欢宜香……,bb674d01...,白色,#FFFFFF,滚动弹幕,正常,10
2023/11/24,19:07:25,2023,1:27,87.19,这里应该是御驾不是陛下,d5bcdb02...,白色,#FFFFFF,滚动弹幕,正常,11
2023/11/19,6:32:17,2023,7:19,439.46,皇后：？,77f8e28...,深红色,#E70012,顶部弹幕,正常,4
2023/11/18,15:33:40,2023,6:06,366.5,容不容得下是皇上的气度，能不能让皇上容下是臣妾的本事,df673801...,白色,#FFFFFF,滚动弹幕,正常,26
2023/11/17,21:56:22,2023,1:23,83.05,这是皇后安排的舒痕胶，她没理由伤心啊,cdf2e41f...,白色,#FFFFFF,滚动弹幕,正常,18
2023/11/17,1:05:15,2023,1:25,85.89,嬛嬛上火下巴上有个痘,5bba300e...,白色,#FFFFFF,滚动弹幕,正常,10
2023/11/16,23:30:15,2023,0:31,31.16,娘娘演技好好，淳朴的嬛嬛啊,c9dacda8...,白色,#FFFFFF,滚动弹幕,正常,13
2023/11/15,20:05:50,2023,0:13,13.06,皇上哭了,a1723819...,白色,#FFFFFF,滚动弹幕,正常,4
2024/2/23,9:10:46,2024,7:19,439.6,皇后：也是失去孩子的人，也是打胎大队长,9364443...,白色,#FFFFFF,滚动弹幕,正常,19
2024/2/23,9:08:54,2024,5:50,350.78,皇上终于明白一次，华妃就是心思歹毒啊！,9364443...,白色,#FFFFFF,滚动弹幕,正常,19
2024/2/23,9:04:49,2024,3:30,210.91,推卸责任！,9364443...,白色,#FFFFFF,滚动弹幕,正常,5
2024/2/13,21:44:14,2024,0:20,20.24,孙俪哭戏牛逼,5a957feb...,白色,#FFFFFF,滚动弹幕,正常,6
2023/12/2,10:50:44,2023,4:03,244,自己做错事还甩锅太医，毫不知错，这锅祸害她背,6201cce5...,深红色,#E70012,滚动弹幕,正常,22
2023/11/29,1:37:25,2023,4:49,289.96,提纯元做什么啊，这一下子恼了,bb674d01...,深红色,#E70012,滚动弹幕,正常,14
2023/11/23,12:44:35,2023,7:13,433.13,就是啊哪次不是华妃找事儿,77fc8c08...,白色,#FFFFFF,滚动弹幕,正常,12
2023/11/16,4:49:11,2023,7:01,421.26,没有存心害孩子？你心里的事谁能知道，你又能把心挖出来给大家看一看吗？,f2db0da8...,白色,#FFFFFF,滚动弹幕,正常,34
2023/11/16,4:45:09,2023,4:18,258.96,宜修：你什么身份什么地位，你也配打纯元牌？,f2db0da8...,白色,#FFFFFF,滚动弹幕,正常,21
2023/11/16,1:39:36,2023,6:37,397.79,她失去的只是孩子，我失去了爱情啊！,745c007...,白色,#FFFFFF,滚动弹幕,正常,17
2023/11/16,1:35:35,2023,2:52,172.87,唉，，，吃人的时代产出了病态的人,745c007...,白色,#FFFFFF,滚动弹幕,正常,16
2023/11/15,13:39:55,2023,7:23,443.69,他想死了那个成了型的孩子,aec65880...,白色,#FFFFFF,滚动弹幕,正常,12
